dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,cum_num_14_per_100000
2020-12-14,14,12,2020,7451,247,Iran,IR,IRN,82913893.0,Asia,192.39236541
2020-12-13,13,12,2020,8201,221,Iran,IR,IRN,82913893.0,Asia,199.02454707
2020-12-12,12,12,2020,9594,232,Iran,IR,IRN,82913893.0,Asia,205.29731971
2020-12-11,11,12,2020,10403,284,Iran,IR,IRN,82913893.0,Asia,210.67277591
2020-12-10,10,12,2020,10223,295,Iran,IR,IRN,82913893.0,Asia,214.96397473
2020-12-09,9,12,2020,11023,323,Iran,IR,IRN,82913893.0,Asia,235.87844319
2020-12-08,8,12,2020,10827,284,Iran,IR,IRN,82913893.0,Asia,222.58392812
2020-12-07,7,12,2020,11561,294,Iran,IR,IRN,82913893.0,Asia,224.55344124
2020-12-06,6,12,2020,12151,321,Iran,IR,IRN,82913893.0,Asia,226.35289842
2020-12-05,5,12,2020,13341,347,Iran,IR,IRN,82913893.0,Asia,227.29363341
2020-12-04,4,12,2020,13922,358,Iran,IR,IRN,82913893.0,Asia,243.14381186
2020-12-03,3,12,2020,13621,362,Iran,IR,IRN,82913893.0,Asia,226.35289842
2020-12-02,2,12,2020,13881,382,Iran,IR,IRN,82913893.0,Asia,226.11168432
2020-12-01,1,12,2020,13321,371,Iran,IR,IRN,82913893.0,Asia,225.47367303
2020-11-30,30,11,2020,12950,389,Iran,IR,IRN,82913893.0,Asia,225.15044614
2020-11-29,29,11,2020,13402,391,Iran,IR,IRN,82913893.0,Asia,224.65957545
2020-11-28,28,11,2020,14051,406,Iran,IR,IRN,82913893.0,Asia,222.00742643
2020-11-27,27,11,2020,13961,482,Iran,IR,IRN,82913893.0,Asia,219.2165793
2020-11-26,26,11,2020,27564,952,Iran,IR,IRN,82913893.0,Asia,216.26894301
2020-11-25,25,11,2020,0,0,Iran,IR,IRN,82913893.0,Asia,197.23232631
2020-11-24,24,11,2020,12460,453,Iran,IR,IRN,82913893.0,Asia,209.70188916
2020-11-23,23,11,2020,13053,475,Iran,IR,IRN,82913893.0,Asia,207.29336638
2020-11-22,22,11,2020,12931,431,Iran,IR,IRN,82913893.0,Asia,202.6897953
2020-11-21,21,11,2020,26483,955,Iran,IR,IRN,82913893.0,Asia,198.49146391
2020-11-20,20,11,2020,0,0,Iran,IR,IRN,82913893.0,Asia,177.24170785
2020-11-19,19,11,2020,13421,480,Iran,IR,IRN,82913893.0,Asia,187.82135824
2020-11-18,18,11,2020,13352,482,Iran,IR,IRN,82913893.0,Asia,181.82839395
2020-11-17,17,11,2020,13053,486,Iran,IR,IRN,82913893.0,Asia,176.49756236
2020-11-16,16,11,2020,12543,459,Iran,IR,IRN,82913893.0,Asia,170.75184252
2020-11-15,15,11,2020,11203,452,Iran,IR,IRN,82913893.0,Asia,164.93375845
2020-11-14,14,11,2020,11737,461,Iran,IR,IRN,82913893.0,Asia,160.85362196
2020-11-13,13,11,2020,11517,457,Iran,IR,IRN,82913893.0,Asia,156.3598033
2020-11-12,12,11,2020,11780,462,Iran,IR,IRN,82913893.0,Asia,152.47143202
2020-11-11,11,11,2020,10339,453,Iran,IR,IRN,82913893.0,Asia,146.49414664
2020-11-10,10,11,2020,10463,458,Iran,IR,IRN,82913893.0,Asia,142.428483
2020-11-09,9,11,2020,9236,459,Iran,IR,IRN,82913893.0,Asia,136.99754756
